indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
——————————,8720,family,,,EOL-000000640878,B.Ekgmowechashalidae,~,-2228727,A.Ekgmowechashala,,monotypic-inversion,,
———————————,8721,genus,-2228727,A.Ekgmowechashala,EOL-000000640879,B.Ekgmowechashala,=,,,moved,scientificName,source; taxonomicStatus; number_of_children,shared tip
—————————,8722,infraorder,,,EOL-000000640880,B.Lemuriformes,>,-2328679,A.Lemuridae,,B.Archaeolemuridae is not in it,,
——————————,8723,family,,,EOL-000000640881,B.Cheirogaleidae,<,-2328686,A.Cheirogaleidae,increased resolution,A.Bugtilemur is not in it,,
———————————,8724,genus,,,EOL-000000640882,B.Allocebus,~,-2419942,A.Allocebus trichotis,,monotypic-inversion,,
————————————,8725,species,-2419942,A.Allocebus trichotis,EOL-000000640883,B.Allocebus trichotis,=,,,moved,scientificName,source; taxonomicStatus,shared tip
———————————,8726,genus,-2382377,A.Phaner,EOL-000000640884,B.Phaner,=,,,moved,canonicalName,source; taxonomicStatus; scientificName,
————————————,8727,species,-2419956,A.Phaner furcifer,EOL-000000640885,B.Phaner furcifer,=,,,,scientificName,source; taxonomicStatus; number_of_children,shared tip
————————————,8728,species,-2419955,A.Phaner electromontis,EOL-000000640886,B.Phaner electromontis,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8729,species,-2419957,A.Phaner pallescens,EOL-000000640887,B.Phaner pallescens,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8730,species,-2419954,A.Phaner parienti,EOL-000000640888,B.Phaner parienti,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
———————————,8731,genus,-2382376,A.Cheirogaleus,EOL-000000640889,B.Cheirogaleus,=,,,moved,canonicalName,source; taxonomicStatus; scientificName,
————————————,8732,species,-2419953,A.Cheirogaleus minusculus,EOL-000000640890,B.Cheirogaleus minusculus,=,,,,synonym+scientificName+invalid,source; taxonomicStatus,shared tip
————————————,8733,species,-2419948,A.Cheirogaleus medius,EOL-000000640891,B.Cheirogaleus medius,=,,,,synonym+scientificName+invalid,source; taxonomicStatus; scientificName,shared tip
————————————,8734,species,-2419951,A.Cheirogaleus andysabini,EOL-000000640892,B.Cheirogaleus andysabini,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8735,species,-2419945,A.Cheirogaleus sibreei,EOL-000000640893,B.Cheirogaleus sibreei,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8736,species,,,EOL-000000640894,B.Cheirogaleus shethi,,,,,,,
————————————,8737,species,-2419949,A.Cheirogaleus lavasoensis,EOL-000000640895,B.Cheirogaleus lavasoensis,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
